rank,strategy_id,label,folder,asset_key,phase,source,metadata_file,overall_pf,overall_trades,overall_total_r,win_rate_pct,max_drawdown_r,ml_used,model,split_basis,pre_split_pf,pre_split_trades,post_split_pf,post_split_trades,observed_first70_pf,observed_first70_trades,observed_last30_pf,observed_last30_trades,overfit_risk,overfit_notes,variant_id,key_params
11,competition_usd_cad_us_first30_last30_momentum_signalmonth_month_3_true_rr_5_08845764,USDCAD USDCAD March US first30 last30 momentum true 5R,competition_usd_cad_us_first30_last30_momentum_signalmonth_month_3_true_rr_5_08845764,usd_cad,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,3.166,47,16.91,63.8,2.00,yes,ML scorer,true_pre2022_vs_2022_forward,1.795,13,3.093,48,4.136,33,1.963,14,High,small total sample; thin pre-split sample; forward stronger than fit sample,competition_session_edge|family=us_first30_last30_momentum_signalmonth_month_3|direction=same|entry=930|exit=945|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=3|risk_reward=5|managed_exit=bracket,direction=same; risk_reward=5; entry=930; exit=945; family=us_first30_last30_momentum_signalmonth_month_3; min_signal_atr=1
12,competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb,YM cross-asset cross-asset USDCAD March US first30 last30 momentum true 5R true 5R,competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb,dow_jones_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,3.147,61,35.92,59.0,6.02,yes,ML scorer,true_pre2022_vs_2022_forward,0.879,149,3.147,61,3.821,43,1.382,18,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_momentum_signalmonth_month_3|direction=same|entry=930|exit=945|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=3|risk_reward=5|managed_exit=bracket,direction=same; risk_reward=5; entry=930; exit=945; family=us_first30_last30_momentum_signalmonth_month_3; min_signal_atr=1
13,competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,6J London opening-range reversal into New York (August true 5R),competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,japanese_yen_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.076,31,31.63,45.2,2.92,yes,ML scorer,true_pre2022_vs_2022_forward,1.313,85,3.076,31,2.679,22,4.724,9,Medium,small total sample; forward stronger than fit sample,competition_session_edge|family=london_first30_ny_open_reversal_month_8|direction=opposite|entry=480|exit=570|min_signal_atr=1|signal_end=195|signal_start=180|signal_month=8|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=480; exit=570; family=london_first30_ny_open_reversal_month_8; min_signal_atr=1
14,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,SI cross-asset US opening-range reversal into the close (December filter) true 5R,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,silver_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.989,58,11.51,55.2,0.79,yes,ML scorer,true_pre2022_vs_2022_forward,1.026,164,2.989,58,2.456,41,4.868,17,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth; min_signal_atr=0.5
15,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,SI cross-asset 20-day daily momentum overnight (Friday longs) true 5R,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,silver_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.947,129,45.91,45.0,2.70,yes,ML scorer,true_pre2022_vs_2022_forward,1.633,276,2.947,129,2.983,91,2.882,38,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=momentum|entry=945|exit=945|lookback=20|signal_weekday_side=4_long|risk_reward=5|managed_exit=bracket,direction=momentum; risk_reward=5; entry=945; exit=945; family=daily_tsmom_next_overnight_weekday_side_4_long; lookback=20
16,competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329,GC cross-asset cross-asset cross-asset US opening-range reversal into the close (October true 5R) true 5R true 5R,competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329,gold_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.924,50,9.44,62.0,1.19,yes,ML scorer,true_pre2022_vs_2022_forward,0.979,131,2.924,50,2.814,35,3.191,15,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth_month_10; min_signal_atr=0.75
17,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,6B cross-asset cross-asset US opening-range reversal into the close (October filter) true 5R true 5R,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,british_pound_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.753,57,11.73,56.1,1.15,yes,ML scorer,true_pre2022_vs_2022_forward,1.052,151,2.753,57,2.112,40,4.204,17,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=10|signal_start=570|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth; min_signal_atr=0.5
18,competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,6N US opening-range reversal into the close (December filter),competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,new_zealand_dollar_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.693,48,9.09,62.5,1.93,yes,ML scorer,true_pre2022_vs_2022_forward,1.575,26,3.450,48,2.333,34,3.944,14,Medium,small total sample; forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570,direction=opposite; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth; min_signal_atr=0.5; signal_end=585
19,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee,ZF cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee,us_treasury_5y_note_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.674,91,57.10,46.2,4.07,yes,ML scorer,true_pre2022_vs_2022_forward,1.231,47,2.674,91,2.802,64,2.409,27,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket,direction=contrarian; risk_reward=5; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=5
20,competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_412871d7,HG cross-asset US opening-range reversal into the close (Monday longs) true 5R,competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_412871d7,copper_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.564,65,7.19,55.4,1.61,yes,ML scorer,true_pre2022_vs_2022_forward,0.972,163,2.564,65,3.143,46,1.642,19,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=0_long|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_weekday_side_0_long; min_signal_atr=0.5
21,competition_us_treasury_2y_note_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_ex_d2289e05,ZT NY open gap fade (December filter),competition_us_treasury_2y_note_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_ex_d2289e05,us_treasury_2y_note_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.554,62,39.72,50.0,4.72,yes,ML scorer,true_pre2022_vs_2022_forward,0.825,35,2.554,62,3.019,44,1.864,18,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=ny_open_gap_fade_signalmonth|direction=fade|entry=570|exit=615|min_gap_atr=0|signal_month=12,direction=fade; entry=570; exit=615; family=ny_open_gap_fade_signalmonth; min_gap_atr=0; signal_month=12
22,competition_usd_cad_us_first30_midday_reversal_month_12_true_rr_5_f342f952,USDCAD USDCAD December US first30 midday reversal true 5R,competition_usd_cad_us_first30_midday_reversal_month_12_true_rr_5_f342f952,usd_cad,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,2.521,41,20.17,65.9,3.02,yes,ML scorer,true_pre2022_vs_2022_forward,2.772,11,2.521,41,3.037,29,1.894,12,High,small total sample; thin pre-split sample,competition_session_edge|family=us_first30_midday_reversal_month_12|direction=opposite|entry=720|exit=780|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=12|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=720; exit=780; family=us_first30_midday_reversal_month_12; min_signal_atr=1
23,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,SI cross-asset US opening-range reversal into the close (December filter) true 5R,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,silver_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.515,63,10.77,54.0,1.36,yes,ML scorer,true_pre2022_vs_2022_forward,1.000,186,2.515,63,1.959,45,5.048,18,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_month=12|signal_start=570|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth; min_signal_atr=0.35
24,competition_euro_futures_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitmin_0b54da46,6E 5-day daily mean reversion into RTH (December filter),competition_euro_futures_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitmin_0b54da46,euro_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.425,62,81.60,59.7,12.87,yes,ML scorer,true_pre2022_vs_2022_forward,1.410,191,2.425,62,1.944,44,4.913,18,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=contrarian|entry=570|exit=945|lookback=5|signal_month=12,direction=contrarian; entry=570; exit=945; family=daily_tsmom_next_rth_signalmonth; lookback=5; signal_month=12
25,competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea,6A cross-asset cross-asset London opening-range continuation into New York (Monday shorts) true 5R true 5R,competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea,australian_dollar_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.401,95,59.10,50.5,5.17,yes,ML scorer,true_pre2022_vs_2022_forward,0.613,288,2.348,96,2.694,67,1.826,28,Low,forward stronger than fit sample,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|risk_reward=5|managed_exit=bracket,direction=same; risk_reward=5; entry=480; exit=570; family=london_first30_ny_open_momentum_weekday_side_0_short; min_signal_atr=0
26,competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9,6C cross-asset cross-asset USDCAD March US first30 last30 momentum true 5R true 5R,competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9,canadian_dollar_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.359,46,12.56,56.5,1.79,yes,ML scorer,true_pre2022_vs_2022_forward,0.885,75,2.359,46,2.967,33,1.445,13,Medium,small total sample; forward stronger than fit sample,competition_session_edge|family=us_first30_last30_momentum_signalmonth_month_3|direction=same|entry=930|exit=945|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=3|risk_reward=5|managed_exit=bracket,direction=same; risk_reward=5; entry=930; exit=945; family=us_first30_last30_momentum_signalmonth_month_3; min_signal_atr=1
27,competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,ZB 5-day daily mean reversion overnight (Friday shorts true 5R),competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,us_treasury_30y_bond_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.345,90,46.63,50.0,4.32,yes,ML scorer,true_pre2022_vs_2022_forward,1.187,304,2.345,90,2.165,63,2.728,27,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket,direction=contrarian; risk_reward=5; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=5
28,competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070,6C cross-asset cross-asset London opening-range continuation into New York (Monday shorts) true 5R true 5R,competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070,canadian_dollar_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.332,98,72.22,42.9,5.25,yes,ML scorer,true_pre2022_vs_2022_forward,1.149,298,2.332,98,2.689,69,1.611,29,Low,forward stronger than fit sample,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|risk_reward=5|managed_exit=bracket,direction=same; risk_reward=5; entry=480; exit=570; family=london_first30_ny_open_momentum_weekday_side_0_short; min_signal_atr=0
29,competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876,6N cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876,new_zealand_dollar_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.288,98,51.57,54.1,7.81,yes,ML scorer,true_pre2022_vs_2022_forward,1.157,44,2.116,99,2.358,69,2.153,29,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket,direction=contrarian; risk_reward=5; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=5
30,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,ZN cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,us_treasury_10y_note_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.270,90,44.53,45.6,5.97,yes,ML scorer,true_pre2022_vs_2022_forward,1.169,310,2.270,90,2.019,63,2.794,27,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket,direction=contrarian; risk_reward=5; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=5
31,competition_eur_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_5_cae527f4,EURJPY EURJPY Wednesday short daily TSMOM overnight true 5R,competition_eur_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_5_cae527f4,eur_jpy,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,2.236,101,85.57,30.7,7.17,yes,ML scorer,true_pre2022_vs_2022_forward,0.666,51,2.285,98,2.434,71,1.810,30,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=momentum|entry=945|exit=945|lookback=5|signal_weekday_side=2_short|risk_reward=5|managed_exit=bracket,direction=momentum; risk_reward=5; entry=945; exit=945; family=daily_tsmom_next_overnight_weekday_side_2_short; lookback=5
32,competition_gbp_usd_london_first30_last30_reversal_month_12_true_rr_5_f1420549,GBPUSD GBPUSD London first30 last30 December reversal true 5R,competition_gbp_usd_london_first30_last30_reversal_month_12_true_rr_5_f1420549,gbp_usd,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,2.215,27,6.43,70.4,1.97,yes,ML scorer,true_pre2022_vs_2022_forward,0.979,20,2.215,27,1.860,19,3.018,8,High,very small total sample; thin post-split sample; forward stronger than fit sample,competition_session_edge|family=london_first30_last30_reversal_month_12|direction=opposite|entry=930|exit=945|min_signal_atr=1|signal_end=195|signal_start=180|signal_month=12|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=london_first30_last30_reversal_month_12; min_signal_atr=1
33,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_027092c6,ZT cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_027092c6,us_treasury_2y_note_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,2.214,90,48.52,48.9,4.19,yes,ML scorer,true_pre2022_vs_2022_forward,0.402,45,2.727,90,2.482,63,1.712,27,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket,direction=contrarian; risk_reward=5; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=5
