selection_status,selection_reason,rank,strategy_id,label,asset_key,trades,overall_pf,total_r,max_drawdown_r,win_rate_pct,min_planned_rr,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,split_first70_pf,split_last30_pf,overfit_risk,duplicate_of,exact_overlap,exact_containment,near_overlap,near_containment,score
selected,pf_rr_stress_low_overfit_nonduplicate,11,competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,ZB 5-day daily mean reversion overnight (Friday shorts true 5R),us_treasury_30y_bond_futures,90,2.245,46.913,4.523,50.0,4.012,1.675,1.617,1.822,1.493,1.526,5,1.000,1.468,2.165,2.728,Low,,0,0.000,0,0.000,4.768
selected,pf_rr_stress_low_overfit_nonduplicate,12,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,ZN cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,us_treasury_10y_note_futures,90,2.162,46.581,6.735,45.6,4.023,1.621,1.347,1.502,1.439,1.364,5,1.000,1.198,2.019,2.794,Low,,0,0.000,0,0.000,4.670
selected,pf_rr_stress_low_overfit_nonduplicate,13,nasdaq_100_futures_round_hundred_rejection_15m,NQ Round Hundred Rejection 15m,nasdaq_100_futures,54,2.123,31.726,8.000,45.3,3.000,1.672,1.333,1.615,1.284,1.253,4,0.750,0.750,2.299,1.500,Low,,0,0.000,0,0.000,3.941
duplicate_rejected,same_trade_overlap,,competition_dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_c2a8817b,YM 20-day daily mean reversion overnight (Tuesday longs true 4R),dow_jones_futures,90,2.356,67.489,5.005,40.0,3.962,1.693,1.477,1.764,1.463,1.552,5,1.000,1.637,2.259,7.452,Low,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,90,1.000,90,1.000,5.203
duplicate_rejected,same_trade_overlap,,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,SI cross-asset US opening-range reversal into the close (December filter) true 5R,silver_futures,63,2.410,10.532,1.357,54.0,4.832,2.123,1.518,2.062,1.399,1.669,4,1.000,1.228,1.959,5.048,Low,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,58,1.000,58,1.000,4.972
watch_rejected,"trades_lt_40,overfit_risk_not_low",,competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,6J London opening-range reversal into New York (August true 5R),japanese_yen_futures,31,3.076,31.630,2.918,45.2,4.633,2.036,1.868,3.192,1.524,2.304,4,1.000,2.066,2.679,4.724,Medium,,0,0.000,0,0.000,5.445
watch_rejected,overfit_risk_not_low,,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_027092c6,ZT cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,us_treasury_2y_note_futures,90,2.727,70.917,4.191,48.9,4.011,2.448,1.706,1.678,1.581,1.534,5,1.000,1.477,2.482,1.712,Medium,,0,0.000,0,0.000,5.343
watch_rejected,overfit_risk_not_low,,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee,ZF cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,us_treasury_5y_note_futures,91,2.405,58.894,5.217,46.2,4.336,2.058,1.901,1.751,1.582,1.682,5,1.000,1.638,2.802,2.409,Medium,,0,0.000,0,0.000,5.198
watch_rejected,overfit_risk_not_low,,competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876,6N cross-asset 5-day daily mean reversion overnight (Friday shorts true 5R) true 5R,new_zealand_dollar_futures,99,2.116,56.051,10.849,54.1,4.658,2.007,1.177,1.039,1.340,1.266,5,0.600,0.936,2.358,2.153,Medium,,0,0.000,0,0.000,4.585
watch_rejected,overfit_risk_not_low,,competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9,6C cross-asset cross-asset USDCAD March US first30 last30 momentum true 5R true 5R,canadian_dollar_futures,46,2.359,12.559,1.789,56.5,4.622,2.250,1.247,2.218,1.257,1.545,5,1.000,1.968,2.967,1.445,Medium,,0,0.000,0,0.000,4.299
